"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"null"
"Validación_Datos"
"04/13/2026 22:51:30:157 -0600"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-25","25","-3","3"
"[run number]","velocidad-inicial","numero_de_carros","aceleracion","posicion-inicial","desaceleracion","[step]","densidad","flujo-promedio"
"121","aleatoria","26","0.0045","aleatoria","0.026","3000","0.5098039215686274","3.8135593220338984"
"122","aleatoria","26","0.0045","aleatoria","0.026","3000","0.5098039215686274","3.7457627118644066"
"123","aleatoria","26","0.0045","aleatoria","0.026","3000","0.5098039215686274","3.7796610169491527"
"124","aleatoria","26","0.0045","aleatoria","0.026","3000","0.5098039215686274","3.8135593220338984"
"125","aleatoria","26","0.0045","aleatoria","0.026","3000","0.5098039215686274","3.830508474576271"
"126","aleatoria","26","0.0045","aleatoria","0.026","3000","0.5098039215686274","3.7796610169491527"
"127","aleatoria","26","0.0045","aleatoria","0.026","3000","0.5098039215686274","3.8135593220338984"
"128","aleatoria","26","0.0045","aleatoria","0.026","3000","0.5098039215686274","3.7966101694915255"
"129","aleatoria","26","0.0045","aleatoria","0.026","3000","0.5098039215686274","3.830508474576271"
"130","aleatoria","26","0.0045","aleatoria","0.026","3000","0.5098039215686274","3.864406779661017"
"131","aleatoria","28","0.0045","aleatoria","0.026","3000","0.5490196078431373","3.5762711864406778"
"132","aleatoria","28","0.0045","aleatoria","0.026","3000","0.5490196078431373","3.457627118644068"
"133","aleatoria","28","0.0045","aleatoria","0.026","3000","0.5490196078431373","3.5084745762711864"
"134","aleatoria","28","0.0045","aleatoria","0.026","3000","0.5490196078431373","3.4915254237288136"
"135","aleatoria","28","0.0045","aleatoria","0.026","3000","0.5490196078431373","3.5084745762711864"
"136","aleatoria","28","0.0045","aleatoria","0.026","3000","0.5490196078431373","3.457627118644068"
"137","aleatoria","28","0.0045","aleatoria","0.026","3000","0.5490196078431373","3.5084745762711864"
"138","aleatoria","28","0.0045","aleatoria","0.026","3000","0.5490196078431373","3.4915254237288136"
"139","aleatoria","28","0.0045","aleatoria","0.026","3000","0.5490196078431373","3.5084745762711864"
"140","aleatoria","28","0.0045","aleatoria","0.026","3000","0.5490196078431373","3.4237288135593222"
"142","aleatoria","30","0.0045","aleatoria","0.026","3000","0.5882352941176471","3.23728813559322"
"141","aleatoria","30","0.0045","aleatoria","0.026","3000","0.5882352941176471","3.135593220338983"
"143","aleatoria","30","0.0045","aleatoria","0.026","3000","0.5882352941176471","3.2203389830508473"
"145","aleatoria","30","0.0045","aleatoria","0.026","3000","0.5882352941176471","3.2033898305084745"
"144","aleatoria","30","0.0045","aleatoria","0.026","3000","0.5882352941176471","3.2033898305084745"
"146","aleatoria","30","0.0045","aleatoria","0.026","3000","0.5882352941176471","3.169491525423729"
"147","aleatoria","30","0.0045","aleatoria","0.026","3000","0.5882352941176471","3.1864406779661016"
"148","aleatoria","30","0.0045","aleatoria","0.026","3000","0.5882352941176471","3.1864406779661016"
"149","aleatoria","30","0.0045","aleatoria","0.026","3000","0.5882352941176471","3.288135593220339"
"150","aleatoria","30","0.0045","aleatoria","0.026","3000","0.5882352941176471","3.2203389830508473"
"151","aleatoria","32","0.0045","aleatoria","0.026","3000","0.6274509803921569","2.9491525423728815"
"153","aleatoria","32","0.0045","aleatoria","0.026","3000","0.6274509803921569","2.9152542372881354"
"152","aleatoria","32","0.0045","aleatoria","0.026","3000","0.6274509803921569","2.8813559322033897"
"154","aleatoria","32","0.0045","aleatoria","0.026","3000","0.6274509803921569","2.9152542372881354"
"155","aleatoria","32","0.0045","aleatoria","0.026","3000","0.6274509803921569","2.9152542372881354"
"157","aleatoria","32","0.0045","aleatoria","0.026","3000","0.6274509803921569","2.9152542372881354"
"156","aleatoria","32","0.0045","aleatoria","0.026","3000","0.6274509803921569","2.9152542372881354"
"158","aleatoria","32","0.0045","aleatoria","0.026","3000","0.6274509803921569","2.8813559322033897"
"159","aleatoria","32","0.0045","aleatoria","0.026","3000","0.6274509803921569","2.8983050847457625"
"160","aleatoria","32","0.0045","aleatoria","0.026","3000","0.6274509803921569","2.9152542372881354"
"161","aleatoria","34","0.0045","aleatoria","0.026","3000","0.6666666666666666","2.6440677966101696"
"162","aleatoria","34","0.0045","aleatoria","0.026","3000","0.6666666666666666","2.6440677966101696"
"163","aleatoria","34","0.0045","aleatoria","0.026","3000","0.6666666666666666","2.711864406779661"
"164","aleatoria","34","0.0045","aleatoria","0.026","3000","0.6666666666666666","2.610169491525424"
"165","aleatoria","34","0.0045","aleatoria","0.026","3000","0.6666666666666666","2.5762711864406778"
"166","aleatoria","34","0.0045","aleatoria","0.026","3000","0.6666666666666666","2.6271186440677967"
"167","aleatoria","34","0.0045","aleatoria","0.026","3000","0.6666666666666666","2.6779661016949152"
"168","aleatoria","34","0.0045","aleatoria","0.026","3000","0.6666666666666666","2.7457627118644066"
"169","aleatoria","34","0.0045","aleatoria","0.026","3000","0.6666666666666666","2.593220338983051"
"170","aleatoria","34","0.0045","aleatoria","0.026","3000","0.6666666666666666","2.610169491525424"
"171","aleatoria","36","0.0045","aleatoria","0.026","3000","0.7058823529411765","2.3220338983050848"
"172","aleatoria","36","0.0045","aleatoria","0.026","3000","0.7058823529411765","2.288135593220339"
"174","aleatoria","36","0.0045","aleatoria","0.026","3000","0.7058823529411765","2.3389830508474576"
"173","aleatoria","36","0.0045","aleatoria","0.026","3000","0.7058823529411765","2.3728813559322033"
"175","aleatoria","36","0.0045","aleatoria","0.026","3000","0.7058823529411765","2.288135593220339"
"177","aleatoria","36","0.0045","aleatoria","0.026","3000","0.7058823529411765","2.305084745762712"
"176","aleatoria","36","0.0045","aleatoria","0.026","3000","0.7058823529411765","2.3389830508474576"
"178","aleatoria","36","0.0045","aleatoria","0.026","3000","0.7058823529411765","2.2711864406779663"
"181","aleatoria","38","0.0045","aleatoria","0.026","3000","0.7450980392156863","2.0338983050847457"
"180","aleatoria","36","0.0045","aleatoria","0.026","3000","0.7058823529411765","2.305084745762712"
"179","aleatoria","36","0.0045","aleatoria","0.026","3000","0.7058823529411765","2.2542372881355934"
"182","aleatoria","38","0.0045","aleatoria","0.026","3000","0.7450980392156863","2.0338983050847457"
"183","aleatoria","38","0.0045","aleatoria","0.026","3000","0.7450980392156863","2"
"184","aleatoria","38","0.0045","aleatoria","0.026","3000","0.7450980392156863","2.016949152542373"
"186","aleatoria","38","0.0045","aleatoria","0.026","3000","0.7450980392156863","2.0677966101694913"
"187","aleatoria","38","0.0045","aleatoria","0.026","3000","0.7450980392156863","2.0508474576271185"
"185","aleatoria","38","0.0045","aleatoria","0.026","3000","0.7450980392156863","2.0338983050847457"
